date,time,model,logloss,top1,top3
18012,M,freq_indep,5.01657002961607,FALSE,FALSE
18012,E,freq_indep,3.9179577409479607,FALSE,FALSE
18013,M,freq_indep,4.390325437488577,FALSE,FALSE
18013,E,freq_indep,4.2049222141572145,FALSE,FALSE
18014,M,freq_indep,4.825866300325822,FALSE,FALSE
18014,E,freq_indep,5.9244785889939315,FALSE,FALSE
18015,M,freq_indep,4.6548257764339525,FALSE,FALSE
18015,E,freq_indep,4.249360668325788,FALSE,FALSE
18016,M,freq_indep,4.309329925834847,FALSE,FALSE
18016,E,freq_indep,4.779333555080582,FALSE,FALSE
18017,M,freq_indep,4.808111029984782,FALSE,FALSE
18017,E,freq_indep,5.1647859739235145,FALSE,FALSE
18018,M,freq_indep,4.787690135799262,FALSE,FALSE
18018,E,freq_indep,4.787690135799262,FALSE,FALSE
18019,M,freq_indep,5.375278407684165,FALSE,FALSE
18019,E,freq_indep,4.3636774960056846,FALSE,FALSE
18020,M,freq_indep,4.016570690828946,FALSE,FALSE
18020,E,freq_indep,5.536396444573359,FALSE,FALSE
18021,M,freq_indep,4.80146769663802,FALSE,FALSE
18021,E,freq_indep,4.8704605681249715,FALSE,FALSE
18022,M,freq_indep,4.386480985023262,FALSE,FALSE
18022,E,freq_indep,5.233778845410465,FALSE,FALSE
18023,M,freq_indep,4.923797062289294,FALSE,FALSE
18023,E,freq_indep,5.106118619083248,FALSE,FALSE
18024,M,freq_indep,4.256794044864054,FALSE,FALSE
18024,E,freq_indep,4.123262652239532,FALSE,FALSE
18025,M,freq_indep,5.247681750579457,FALSE,FALSE
18025,E,freq_indep,4.28260085453587,FALSE,FALSE
18026,M,freq_indep,4.713544014198893,FALSE,FALSE
18026,E,freq_indep,4.932233215163723,FALSE,FALSE
18027,M,freq_indep,4.407344442658172,FALSE,FALSE
18027,E,freq_indep,5.180534330891653,FALSE,FALSE
18028,M,freq_indep,4.897078011234251,FALSE,FALSE
18028,E,freq_indep,5.323162406545151,FALSE,FALSE
18029,M,freq_indep,4.313628824198242,FALSE,FALSE
18029,E,freq_indep,5.258090433039093,FALSE,FALSE
18030,M,freq_indep,4.56101509657714,FALSE,FALSE
18030,E,freq_indep,4.1191823442981015,FALSE,FALSE
18031,M,freq_indep,4.966480204685305,FALSE,FALSE
18031,E,freq_indep,5.254162277137086,FALSE,FALSE
18032,M,freq_indep,4.812329524858047,FALSE,FALSE
18032,E,freq_indep,4.848697169028921,FALSE,FALSE
18033,M,freq_indep,5.254162277137086,FALSE,FALSE
18033,E,freq_indep,4.193290316451823,FALSE,FALSE
18034,M,freq_indep,4.337871545262931,FALSE,FALSE
18034,E,freq_indep,4.694546489201663,FALSE,FALSE
18035,M,freq_indep,4.337871545262931,FALSE,FALSE
18035,E,freq_indep,4.589185973543837,FALSE,FALSE
18036,M,freq_indep,5.174119569463549,FALSE,FALSE
18089,E,freq_indep,4.297285406218791,FALSE,FALSE
18090,M,freq_indep,5.10821562243512,FALSE,FALSE
18090,E,freq_indep,4.916568785057188,FALSE,FALSE
18091,M,freq_indep,4.328782120155069,FALSE,FALSE
18091,E,freq_indep,5.01657002961607,FALSE,FALSE
18092,M,freq_indep,5.170720709443328,FALSE,FALSE
18092,E,freq_indep,4.823961422563437,FALSE,FALSE
18093,M,freq_indep,4.978112102390695,FALSE,FALSE
18093,E,freq_indep,3.845037047314096,FALSE,FALSE
18094,M,freq_indep,4.02735860410805,FALSE,FALSE
18094,E,freq_indep,5.5486436524560485,FALSE,FALSE
18095,M,freq_indep,4.162349291336158,FALSE,FALSE
18095,E,freq_indep,3.9573535026776687,FALSE,FALSE
18096,M,freq_indep,4.21971776714516,FALSE,FALSE
18096,E,freq_indep,5.031254581298992,FALSE,FALSE
18097,M,freq_indep,4.4896572988662475,FALSE,FALSE
18097,E,freq_indep,4.71869726431231,FALSE,FALSE
18098,M,freq_indep,4.536375707518356,FALSE,FALSE
18098,E,freq_indep,4.564348191467836,FALSE,FALSE
18099,M,freq_indep,5.557599964478119,FALSE,FALSE
18099,E,freq_indep,4.892039428182846,FALSE,FALSE
18100,M,freq_indep,4.774256392526462,FALSE,FALSE
18100,E,freq_indep,5.206932804746184,FALSE,FALSE
18101,M,freq_indep,4.736929175500449,FALSE,FALSE
18101,E,freq_indep,4.252949592398739,FALSE,FALSE
18102,M,freq_indep,5.543933773714305,FALSE,FALSE
18102,E,freq_indep,5.483412850224717,FALSE,FALSE
18103,M,freq_indep,5.260269298910506,FALSE,FALSE
18103,E,freq_indep,4.410944724691312,FALSE,FALSE
18104,M,freq_indep,4.949941225423999,FALSE,FALSE
18104,E,freq_indep,3.8771357464277054,FALSE,FALSE
18105,M,freq_indep,4.8215973552685565,FALSE,FALSE
18105,E,freq_indep,4.143775854799453,FALSE,FALSE
18106,M,freq_indep,5.050016250820106,FALSE,FALSE
18106,E,freq_indep,5.180534330891653,FALSE,FALSE
18107,M,freq_indep,4.738701578612614,FALSE,FALSE
18107,E,freq_indep,4.289088639014612,FALSE,FALSE
18108,M,freq_indep,4.763546618609729,FALSE,FALSE
18108,E,freq_indep,4.564943252479147,FALSE,FALSE
18109,M,freq_indep,4.719093932306405,FALSE,FALSE
18109,E,freq_indep,4.589185973543836,FALSE,FALSE
18110,M,freq_indep,4.455654580919314,FALSE,FALSE
18110,E,freq_indep,4.694546489201663,FALSE,FALSE
18111,M,freq_indep,4.694546489201663,FALSE,FALSE
18111,E,freq_indep,3.867867916017195,FALSE,FALSE
18112,M,freq_indep,5.100011597309828,FALSE,FALSE
18112,E,freq_indep,3.7625074003593686,FALSE,TRUE
18113,M,freq_indep,4.694546489201663,FALSE,FALSE
18113,E,freq_indep,4.360344401114989,FALSE,FALSE
18114,M,freq_indep,5.100011597309828,FALSE,FALSE
18114,E,freq_indep,5.505476705417991,FALSE,FALSE
18115,M,freq_indep,4.56101509657714,FALSE,FALSE
18115,E,freq_indep,4.56101509657714,FALSE,FALSE
18169,M,freq_indep,4.730921391293651,FALSE,FALSE
18169,E,freq_indep,4.597389998669129,FALSE,FALSE
18170,M,freq_indep,4.292414475984194,FALSE,FALSE
18170,E,freq_indep,4.580096548435975,FALSE,FALSE
18171,M,freq_indep,4.947577158129119,FALSE,FALSE
18171,E,freq_indep,4.477573528883384,FALSE,FALSE
18172,M,freq_indep,4.795790545596741,FALSE,FALSE
