date,time,logloss_freq,logloss_ewma,logloss_blend,logloss_markov,top1_freq,top3_freq,top1_ewma,top3_ewma,top1_blend,top3_blend,prev_d1,prev_d2
17614,M,4.98556165654414,4.943424442098585,4.964271122633846,5.123963979403259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,8
17614,E,6.269332998111438,6.579008294244886,6.412230892373298,5.583496308781699,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,7
17615,M,4.852266978324794,4.381572397746457,4.589477456541577,4.6443908991413725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,8
17615,E,4.690430029938915,4.8052774508549625,4.746205904455493,4.962844630259907,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,2
17616,M,4.690430029938915,4.644038103650809,4.666965064563371,4.382026634673882,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0
17616,E,4.854037177292518,5.084043944718245,4.962442197435343,5.472270673671475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,1
17617,M,4.602722749011613,5.03525705506406,4.795784217035174,4.123093975508087,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,5
17617,E,5.443283136798223,6.354438949953843,5.798488268580714,4.31303376318693,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,3
17618,M,4.249360668325788,4.629803459349798,4.421598040720967,4.836281906951478,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,1
17618,E,5.983306359406519,5.918350104878136,5.950300910462934,5.204006687076795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,8
17619,M,5.472480735640528,4.605791670361962,4.948041888872893,5.703782474656201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,5
17619,E,3.7965101183063017,3.9228726753557543,3.857696786362631,5.10594547390058,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,8
17620,M,4.808111029984782,5.115233759591803,4.94992789807981,5.204006687076795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,8
17620,E,5.634987996186466,5.272942457570584,5.437669316381686,5.247024072160486,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
17621,M,4.836480299968694,5.000496101822422,4.915129315376152,4.816241156068032,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,3
17621,E,4.68213122712422,4.492970914071344,4.5830850200869815,5.19295685089021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,1
17622,M,4.458987675810009,3.9185577745658255,4.152700481659049,4.77912349311153,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3
17622,E,3.7934271395147365,3.8290487166262053,3.8110793243612053,4.848116364598481,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,9,7
17623,M,4.997399943840672,5.068801029977835,5.0324633578442,5.683579767338681,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0
17623,E,4.8704605681249715,5.275390436259146,5.052567994550284,4.197201947661808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5
17624,M,4.7163098882977135,4.464921827748501,4.582737076855146,4.029806041084529,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,8
17624,E,4.1241167205557705,3.7956802056112555,3.946474817197628,4.382026634673881,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,6
17625,M,4.8283137373023015,5.0539657922202155,4.934788366660031,4.1588830833596715,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,8
17625,E,4.972587226458725,4.846394527843657,4.907501621898515,4.765018886929988,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,8
17626,M,5.6169442428492395,6.405133888349876,5.935314305373571,4.836281906951478,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9
17626,E,4.497956101680942,4.689722392703549,4.589249484664841,5.472270673671475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2
17627,M,4.528727760347696,3.9642885481115333,4.207201886716801,5.2574953720277815,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,4
17627,E,4.436751534363128,4.1589861697323585,4.288255497312653,5.703782474656201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,4
17628,M,4.523762911352758,4.733896540203534,4.62332033326282,5.666426688112432,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,8
17628,E,4.143775854799453,4.651091965420348,4.365601894901498,4.33729074083249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,8
17629,M,5.001226086650674,4.9878211990419015,4.994501181637982,5.703782474656201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6
17629,E,4.515558027298405,4.207461092813552,4.349690729820378,5.19295685089021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,5
17630,M,5.768320995793772,6.684622752276625,6.124999089608302,4.787491742782046,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1
17630,E,4.763546618609729,4.925772151801876,4.84137334568193,4.618415412738112,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,7
17631,M,5.2053793708887675,4.833103949061108,5.002017157596652,4.51085950651685,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2
17631,E,5.6353846641805605,5.2471697729329625,5.422555493910461,4.912654885736052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,3
17632,M,4.719093932306405,5.2714458151899395,4.957608460121176,4.722953221644475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,9
17632,E,4.0013993086417186,3.9725570951582503,3.9868742213441912,3.9318256327243257,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,7
17633,M,4.56101509657714,4.2980863341031235,4.420934050957723,4.990432586778736,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,5
17633,E,4.36034440111499,5.082443101290453,4.657584149567474,4.23410650459726,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3
17634,M,4.743336653371095,4.295083743504577,4.494301366808933,4.624972813284271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,8
17634,E,5.505476705417992,5.65202342256144,5.5760679701845985,5.8289456176102075,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,9
17635,M,4.966480204685305,4.897925365929907,4.9316154295726005,4.26619481914876,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,8
17635,E,4.812329524858047,4.504473939955741,4.646601339158488,4.6443908991413725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,6
17636,M,4.694546489201663,5.825865861351242,5.108088626584007,5.541263545158426,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,3
17636,E,5.436483833931041,6.1106545028284245,5.717800306533285,4.912654885736052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,6
17637,M,5.031018725822876,5.1212858886437385,5.075134132754506,4.219507705176107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,7
17637,E,4.337871545262931,4.658091707195484,4.485218399522084,4.6491870714048655,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0
17638,M,5.100011597309828,4.8451987207492575,4.964510821760277,5.529429087511423,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,2
17638,E,5.254162277137086,4.957408787375906,5.094817858259541,4.448516375942715,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,3
17692,M,3.8089326383048587,3.812479564655396,3.8107045288951347,4.6443908991413725,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1
17692,E,4.88507207112091,4.805933311805282,4.844720027768637,4.579852378003801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,8
17693,M,3.817956496389079,4.070736973892589,3.9363806641318404,5.135798437050262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,8
17693,E,5.27324372899592,5.864251715647332,5.525707438468643,5.429345628954441,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0
17694,M,4.659895085677338,4.316246386697932,4.473381002805647,5.14166355650266,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5
17694,E,4.564584905873013,4.159035938825456,4.341391038351294,3.871201010907891,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6
17695,M,4.390325437488577,4.364125670099013,4.377139752771353,5.472270673671475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3
17695,E,4.102643365036796,4.088609493681938,4.09560181086824,4.174387269895637,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0
17696,M,4.538184227874041,4.0942662885127925,4.291792007793108,4.212127597878484,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,6
17696,E,5.008187857119776,4.835325692993897,4.918026250328609,5.059425458265688,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,1
17697,M,4.632352920581893,4.409292393704921,4.514616008761867,4.848116364598481,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,3
17697,E,4.249360668325788,3.883164415666277,4.049592911217753,5.3471075307174685,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0
17698,M,5.0670156275323635,4.540863815423394,4.769727196328603,4.430816798843313,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,9
17698,E,5.249337184326318,5.573351884477986,5.398278351095291,4.605170185988091,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0
17699,M,4.489657298866247,4.417272806870939,4.452810256465336,4.04305126783455,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,2
17699,E,4.338107400739046,4.276366510365187,4.3067605390214725,3.4863551900024623,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,2
17700,M,5.124162372420475,5.296205794664933,5.206488770172914,4.941642422609305,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,7
17700,E,4.941840815626521,5.477503906261583,5.174226275208482,4.973279507552487,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,6
17701,M,4.641309232603964,4.706912980168734,4.673573221371544,4.330733340286331,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,4
17701,E,4.661511939921484,4.549367089943481,4.603868279609604,4.722953221644475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,9
17702,M,4.1501020834534685,3.5073685628876388,3.777962127435997,4.484884020113589,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1
17702,E,5.025570820807369,4.537416136757982,4.751997741904532,4.852030263919617,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,3
17703,M,5.206932804746184,5.368005895187838,5.284229782186126,5.123963979403259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,3
17703,E,4.177313387565026,4.764414396952857,4.428382884904763,4.31303376318693,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0
17704,M,4.54063166485052,5.123147757448311,4.790060555373912,5.3471075307174685,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
17704,E,4.278267400383029,4.517238667210675,4.390631546737174,5.123963979403259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
17705,M,5.106118619083248,5.667472702587679,5.347912433820176,4.959341999708705,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0
17705,E,4.923797062289294,4.924031389000536,4.923914218781289,5.10594547390058,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,5
17706,M,5.509557013359422,5.500649036070137,5.505093105740151,5.4116460518550396,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6
17706,E,4.528727760347696,4.582693098235101,4.555346441244311,4.0943445622221,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8
17707,M,3.6635616461296463,3.3426599283836542,3.4902934034766697,4.579852378003801,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,4
17707,E,4.975748035095815,5.034190918305896,5.004542591123339,4.567814399444322,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,4
17708,M,5.001226086650674,5.371368930929353,5.16926867276232,4.343805421853684,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,8
17708,E,4.713544014198894,4.530176174717297,4.617662999043536,5.480638923341991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,9
17709,M,4.286716454869556,4.165630138313901,4.224341678133059,5.480638923341991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,9
17709,E,4.738701578612614,5.281411978150135,4.973683104093764,4.219507705176107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0
17710,M,4.311561494866671,5.4567034974751545,4.728457639760135,5.135798437050262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3
17710,E,4.763546618609729,4.511930219558057,4.629845356206596,4.912654885736052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3
