draw_date,time,d1,d2
2018-01-28,E,8,7
2018-01-28,M,2,3
2018-01-29,E,6,6
2018-01-29,M,9,4
2018-01-30,E,9,6
2018-01-30,M,8,0
2018-01-31,E,3,1
2018-01-31,M,8,3
2018-02-01,E,1,8
2018-02-01,M,5,3
2018-02-02,M,4,4
2018-03-22,E,6,8
2018-03-23,E,4,7
2018-03-23,M,4,8
2018-03-24,E,7,2
2018-03-24,M,5,8
2018-03-25,E,8,1
2018-03-25,M,2,0
2018-03-26,E,6,3
2018-03-26,M,3,5
2018-03-27,E,5,8
2018-03-27,M,7,1
2018-03-28,E,3,8
2018-03-28,M,6,5
2018-03-29,E,4,4
2018-03-29,M,2,8
2018-03-30,E,7,1
2018-03-30,M,7,3
2018-03-31,E,9,7
2018-03-31,M,5,3
2018-04-01,E,4,5
2018-04-01,M,2,0
2018-04-02,E,1,6
2018-04-02,M,8,8
2018-04-03,E,4,8
2018-04-03,M,6,8
2018-04-04,E,1,2
2018-04-04,M,0,9
2018-04-05,E,6,4
2018-04-05,M,8,4
2018-04-06,E,9,8
2018-04-06,M,8,8
2018-04-07,E,8,5
2018-04-07,M,4,6
2018-04-08,E,9,7
2018-04-08,M,4,1
2018-04-09,E,6,3
2018-04-09,M,3,2
2018-04-10,E,3,7
2018-04-10,M,2,9
2018-04-11,E,4,3
2018-04-11,M,9,5
2018-04-12,E,2,9
2018-04-12,M,6,8
2018-04-13,E,7,6
2018-04-13,M,9,8
2018-04-14,E,6,6
2018-04-14,M,8,3
2018-04-15,E,9,0
2018-04-15,M,1,7
2018-04-16,E,8,3
2018-04-16,M,8,2
2018-04-17,E,3,8
2018-04-17,M,2,1
2018-04-18,E,1,1
2018-04-18,M,1,5
2018-04-19,E,7,4
2018-04-19,M,7,3
2018-04-20,E,3,4
2018-04-20,M,9,9
2018-04-21,E,0,5
2018-04-21,M,2,9
2018-04-22,E,6,2
2018-04-22,M,2,2
2018-06-10,E,9,0
2018-06-10,M,0,8
2018-06-11,E,0,6
2018-06-11,M,0,5
2018-06-12,E,9,0
2018-06-12,M,2,3
2018-06-13,E,9,1
2018-06-13,M,2,6
2018-06-14,E,2,0
2018-06-14,M,8,3
2018-06-15,E,4,0
2018-06-15,M,8,9
2018-06-16,E,7,2
2018-06-16,M,8,2
2018-06-17,E,6,6
2018-06-17,M,8,7
2018-06-18,E,8,9
2018-06-18,M,2,4
2018-06-19,E,8,3
2018-06-19,M,0,1
2018-06-20,E,3,0
2018-06-20,M,8,3
2018-06-21,E,4,4
2018-06-21,M,1,1
2018-06-22,E,9,5
2018-06-22,M,1,0
2018-06-23,E,7,8
2018-06-23,M,3,6
2018-06-24,E,8,4
2018-06-24,M,3,4
2018-06-25,E,3,9
2018-06-25,M,8,8
2018-06-26,E,2,0
2018-06-26,M,4,9
2018-06-27,E,1,3
2018-06-27,M,0,3
2018-06-28,E,3,9
2018-06-28,M,7,0
2018-06-29,E,3,0
2018-06-29,M,9,5
2018-06-30,E,3,4
2018-06-30,M,0,3
2018-07-01,E,3,4
2018-07-01,M,0,8
2018-07-02,E,3,9
2018-07-02,M,0,2
2018-07-03,E,9,8
2018-07-03,M,3,0
2018-07-04,E,9,7
2018-07-04,M,3,1
2018-07-05,E,0,6
2018-07-05,M,1,1
2018-07-06,E,2,0
2018-07-06,M,7,8
2018-07-07,E,6,5
2018-07-07,M,6,3
2018-07-08,E,1,8
2018-07-08,M,2,6
2018-07-09,E,5,3
2018-07-09,M,8,0
2018-07-10,E,2,7
2018-07-10,M,8,2
2018-07-11,M,3,9
2018-08-28,E,1,7
2018-08-29,E,4,7
2018-08-29,M,7,4
2018-08-30,E,7,9
2018-08-30,M,0,2
2018-08-31,E,1,5
2018-08-31,M,0,8
2018-09-01,E,9,1
2018-09-01,M,4,1
2018-09-02,E,4,7
2018-09-02,M,0,5
2018-09-03,E,8,5
2018-09-03,M,4,8
2018-09-04,E,9,9
2018-09-04,M,0,2
2018-09-05,E,3,1
2018-09-05,M,4,5
2018-09-06,E,1,5
2018-09-06,M,9,4
2018-09-07,E,7,5
2018-09-07,M,6,3
2018-09-08,E,0,3
2018-09-08,M,5,3
2018-09-09,E,9,1
2018-09-09,M,4,9
2018-09-10,E,4,5
2018-09-10,M,7,8
2018-09-11,E,4,5
2018-09-11,M,4,1
2018-09-12,E,3,0
2018-09-12,M,4,5
2018-09-13,E,9,0
2018-09-13,M,8,5
2018-09-14,E,9,7
2018-09-14,M,2,1
2018-09-15,E,0,2
2018-09-15,M,5,9
2018-09-16,E,3,0
2018-09-16,M,9,8
2018-09-17,E,2,2
2018-09-17,M,6,3
2018-09-18,E,5,2
2018-09-18,M,7,4
2018-09-19,E,1,8
